state,series,A,area,position,sigma,gamma
Cu-metal,Cu2p3,1,167293.10954322442,932.67568,0.238954,0.277204
Cu-metal,Cu2p3,1,60014.850303436484,947.34734,5.262375,0.264891
Cu-metal,Cu2p3,1,2623.7167695274575,936.81963,0.717601,0.212558
Cu-metal,Cu2p3,1,41595.31673999412,932.77993,0.547123,0.141919
Cu-metal,Cu2p3,1,8031.660326776654,931.9396,0.994254,0.266991
Cu-metal,CuLMM,1,112400.27158773188,568.19742,0.470811,0.383572
Cu-metal,CuLMM,1,44110.18062336894,595.58581,5.730648,0.195266
Cu-metal,CuLMM,1,51296.980715126556,586.46851,4.437977,0.217691
Cu-metal,CuLMM,1,46928.90144709421,581.34883,3.35422,0.213783
Cu-metal,CuLMM,1,26995.33316425383,578.71628,1.564593,0.212474
Cu-metal,CuLMM,1,62239.05731303779,575.39889,1.67535,0.206878
Cu-metal,CuLMM,1,66195.7152362777,572.67204,1.120496,0.163267
Cu-metal,CuLMM,1,70152.11454048203,570.23495,0.961434,0.198445
Cu-metal,CuLMM,1,85020.35124434397,566.82308,1.571462,0.231017
Cu-metal,CuLMM,1,8862.783976570952,565.28338,0.285997,0.196532
Cu-metal,CuLMM,1,78409.72956578256,560.83198,3.724943,0.223668
Cu-metal,CuLMM,1,22352.324051222266,553.86934,2.020769,0.132628
Cu-metal,CuLMM,1,12606.08325835948,551.97385,0.861495,0.177343
Cu-metal,CuLMM,1,14151.265287592081,549.35569,1.001635,0.240256
Cu-metal,CuLMM,1,11792.506557657254,548.28272,0.564645,0.202029
Cu-metal,CuLMM,1,15475.800713062474,546.8497,1.303174,0.234032
Cu-metal,CuLMM,1,6956.099528849925,543.32016,2.662789,0.218162
Cu2O,Cu2p3,1,410916.21819687425,932.71546,0.333453,0.219326
Cu2O,Cu2p3,1,126128.07796066656,947.05947,1.305897,0.243326
Cu2O,Cu2p3,1,53316.37418323181,944.09785,1.098419,0.209578
Cu2O,Cu2p3,1,49391.02970089918,940.80523,1.989145,0.18577
Cu2O,Cu2p3,1,62549.220207153296,937.10321,1.714973,0.188294
Cu2O,Cu2p3,1,90238.16721757827,933.19938,0.36434,0.23479
Cu2O,Cu2p3,1,99193.54180358668,932.80987,0.682575,0.127521
Cu2O,Cu2p3,1,36875.21462244035,932.32929,1.205807,0.200711
Cu2O,CuLMM,1,613978.6296700889,570.35882,1.109676,0.232474
Cu2O,CuLMM,1,121666.791275185,601.29323,5.517944,0.18836
Cu2O,CuLMM,1,124044.11295294469,594.07284,3.467403,0.274514
Cu2O,CuLMM,1,168442.84666059367,588.07468,2.983255,0.188538
Cu2O,CuLMM,1,143106.94513025574,583.62429,2.305999,0.195263
Cu2O,CuLMM,1,238424.06649556156,579.49347,2.145619,0.257933
Cu2O,CuLMM,1,210583.5953107238,576.11885,1.60956,0.209348
Cu2O,CuLMM,1,190272.03665263852,574.05566,1.260665,0.238052
Cu2O,CuLMM,1,119835.1518318382,572.53788,1.035873,0.165668
Cu2O,CuLMM,1,104423.98746724865,568.03382,0.90004,0.214933
Cu2O,CuLMM,1,194432.00136070777,566.30105,1.624157,0.188065
Cu2O,CuLMM,1,237814.39880401728,561.53049,3.126355,0.188612
Cu2O,CuLMM,1,116314.23704289891,554.97446,2.143576,0.176373
Cu2O,CuLMM,1,68170.39377828882,550.50072,0.930209,0.22943
Cu2O,CuLMM,1,223728.90989081905,549.37993,3.296949,0.182701
CuO,Cu2p3,1,40315.33917469592,933.65665,0.817756,0.084592
CuO,Cu2p3,1,10067.141046321804,943.92802,0.418742,0.240078
CuO,Cu2p3,1,24221.636973842888,941.99496,1.194663,0.160877
CuO,Cu2p3,1,6482.303714257964,940.63309,0.432899,0.18953
CuO,Cu2p3,1,17699.261380818272,935.20619,2.274575,0.125527
CuO,Cu2p3,1,11709.66208688729,935.1381,0.809309,0.137448
CuO,Cu2p3,1,10142.168880430158,932.55964,0.472057,0.185172
CuO,CuLMM,1,121328.76725719933,569.05743,1.284707,0.203875
CuO,CuLMM,1,104434.33892149322,588.34566,8.787965,0.210129
CuO,CuLMM,1,72492.44615203913,576.89979,4.311722,0.174593
CuO,CuLMM,1,98680.33954269072,572.98185,2.573151,0.197032
CuO,CuLMM,1,17280.64762150966,566.46479,0.783212,0.203414
CuO,CuLMM,1,29822.755170084158,564.85928,1.277217,0.227957
CuO,CuLMM,1,63114.647159934146,561.43109,2.382095,0.251679
CuO,CuLMM,1,66947.33129926764,554.17994,2.639081,0.143455
CuO,CuLMM,1,32969.39370948116,549.61085,1.255152,0.180011
CuO,CuLMM,1,26914.8386747101,546.89338,1.821425,0.190745
CuO,CuLMM,1,16865.28951165252,542.69003,1.967815,0.214747
Cu(OH)2,Cu2p3,1,10212.526602658403,934.63527,1.014109,0.179379
Cu(OH)2,Cu2p3,1,3601.462233061642,944.12117,0.789879,0.213865
Cu(OH)2,Cu2p3,1,2513.438887959054,942.3381,0.737341,0.200653
Cu(OH)2,Cu2p3,1,3265.624541288304,940.68003,1.077246,0.165768
Cu(OH)2,Cu2p3,1,4462.306477824143,935.95585,2.085039,0.205944
Cu(OH)2,CuLMM,1,139210.77271445084,570.57864,1.80497,0.160928
Cu(OH)2,CuLMM,1,41769.947327187394,598.42485,6.517579,0.204595
Cu(OH)2,CuLMM,1,67875.95487896989,586.96351,5.544734,0.230384
Cu(OH)2,CuLMM,1,70617.69136632806,577.96287,3.374876,0.224644
Cu(OH)2,CuLMM,1,51935.14843797363,574.76112,1.988998,0.18141
Cu(OH)2,CuLMM,1,45473.83215203757,567.0496,1.619285,0.235203
Cu(OH)2,CuLMM,1,69952.07196052143,562.96874,2.540748,0.194081
Cu(OH)2,CuLMM,1,72973.56936115472,556.33286,2.32935,0.198976
Cu(OH)2,CuLMM,1,77771.49739169783,551.25347,2.251927,0.165915
Cu(OH)2,CuLMM,1,56959.88083196517,545.99806,3.114583,0.222877
